Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Unnamed: 28
Body,Body,Loud Luxury,27/10/2017,NLF711710457,"2,059","31,8",1187784950,"148,513",50006803,74.0,295487246,1776887,"170,712",11588300,130962355,248747073,173.0,119849,410.0,68.0,1791986,57.0,94181226,55458,19604813,9782303,0.0,
One Thing At A Time,One Thing At A Time (Sampler),Morgan Wallen,02/12/2022,USUG12209213,"2,057","31,8",249576970,"31,843",5546389,70.0,39198931,"239,096","9,602",2953745,37058831,,20.0,101754,46.0,3.0,20693,11.0,59261739,12242,2193718,410037,0.0,
Mentiras | CROSSOVER #3,Mentiras | CROSSOVER #3,Big One,25/07/2023,ARP7V2300024,"2,051","31,8",99865431,"12,217",5490186,64.0,169676605,"490,029",,,,199799559,1.0,3042,,4.0,116607,4.0,,,,104806,0.0,
911,911,Sech,05/02/2021,QM9WM2000134,"2,058","31,8",352258962,"68,202",13733700,55.0,415445675,2300245,"321,298",59055794,425874947,5980666,43.0,26965,92.0,7.0,59604,22.0,13388831,4469,4291370,943449,1.0,
Boyz Don't Cry,Boyz Don't Cry,Rod Wave,13/09/2023,USQX92305199,"2,061","31,8",56903153,"11,259",2115211,,19153480,"247,547","80,195",7386830,63874274,1880522,3.0,90,,1.0,1924,29.0,9833911,6317,9848576,261112,0.0,
"Loser, Baby",Hazbin Hotel Original Soundtrack (Part 1),Andrew Underberg,19/01/2024,QMB622401808,"2,06","31,8",91969282,"8,656",2053660,,51683164,"844,14",,,,,3.0,,,,,,860475,3839,,53519,1.0,
A Thousand Years,A Thousand Years,Aldy Santos,27/02/2017,QM4DW1718219,"2,062","31,8","13,112",5,478,,"75,926","1,615",,,,,,48,,,,,984853868,1264207,,17251,0.0,
You Make It Easy,You Make It Easy,Jason Aldean,26/01/2018,QMRSZ1703136,"2,066","31,8",461456306,"39,872",6195765,5.0,149557856,1484925,"129,19",4676244,48036714,14532218,5.0,65951,25.0,2.0,,13.0,619306368,157698,12335891,1717815,0.0,
Hoy,Hoy,Valentino Merlo,22/05/2024,BK4DA2414210,"2,065","31,8",3084236,396,5178216,62.0,16220723,"20,462",,,,16582955,2.0,2,,4.0,319987,4.0,,,,41919,0.0,
Suge,Baby On Baby,DaBaby,01/03/2019,USUM71902966,"2,053","31,8",647501734,"112,493",19804967,62.0,447330965,3838459,"514,868",60994964,435082308,165058654,90.0,2734,384.0,28.0,76282,17.0,152054002,140571,,2919131,1.0,
ball w/o you,i am > i was,21 Savage,21/12/2018,QZ45A1700093,"2,068","31,7",637055162,"167,409",20422800,77.0,138716504,1556410,"10,513",3916682,29554904,47981300,19.0,85,,12.0,83442,5.0,18315624,18105,41638558,,1.0,
Money,Money,Cardi B,23/10/2018,USAT21811495,"2,07","31,7",580625472,"62,829",21001481,65.0,551699941,5832935,"933,238",242352463,1855716339,117323780,73.0,29962,223.0,30.0,80695,5.0,258372658,235893,,24631,1.0,
Queen of Kings,Queen of Kings,Alessandra,08/01/2023,NOW7B2301090,"2,069","31,7",162396159,"44,113",11475897,66.0,120017704,1180096,"66,925",20374918,276521416,10071948,24.0,18103,,12.0,144199,,691648,1562,,670703,0.0,
Hasta Que Dios Diga,Emmanuel,Anuel AA,29/05/2020,QM4TX2084345,"2,071","31,7",657768560,"87,832",40590466,71.0,485818371,2230333,"56,9",4821532,48119818,111654843,93.0,4268,,19.0,250832,19.0,24169267,3230,5908323,1043955,1.0,
H.Y.B. (feat. Bas & Central Cee),Might Delete Later,J. Cole,05/04/2024,USUG12402406,"2,074","31,7",36824548,"6,647",36021058,,7143716,"141,721",,,,4619708,10.0,2934,,3.0,138748,39.0,3616525,281,,173469,1.0,
Hackearam-me,"Decretos Reais, Vol. 3",Marï¿½ï¿½lia Mendo,16/03/2023,BRWNV2300007,"2,073","31,7",43921455,"1,924",4623719,44.0,329678889,1854891,"1,304",633597,6144992,226061001,8.0,26,,11.0,718002,4.0,26190,,,9589,0.0,
No Type,No Type,Rae Sremmurd,16/09/2014,USUM71413477,"2,072","31,7",584277301,"124,262",20748688,64.0,902705161,5564747,"287,477",67770069,510652592,171074585,64.0,18018,6.0,30.0,206604,7.0,393317411,624622,753607,4334574,1.0,
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,24/03/2021,USSM12100532,"2,067","31,7",1902241314,"7,736",1546777,44.0,577007299,11124112,,,,2455399379,94.0,16421,,6.0,3447,1.0,,,,,0.0,
Sand In My Boots,Dangerous: The Double Album,Morgan Wallen,08/01/2021,USUG12004193,"2,078","31,6",379462137,"52,985",7003255,72.0,144996999,"759,185","38,414",17034027,137402135,75996858,23.0,192139,89.0,2.0,2873,12.0,161701201,48818,7058460,886799,0.0,
Fouji Fojan Lofi 2 (feat. Aamin Barodi & Sapna Choudhary),Fouji Fojan 2 Lofi (feat. Aamin Barodi & Sapna Choudhary),Raj Mawer,14/03/2024,ING642402006,"2,088","31,6","41,746",2,31,,65576399,"290,795",,,,,,,,,,,,,,3,0.0,
Overseas,Overseas,D-Block Europe,18/11/2021,GB2DY2100828,"2,086","31,6",216354398,"90,545",5425432,64.0,92356896,"647,095","27,652",13161166,148927892,33939271,14.0,5281,10.0,4.0,9626,11.0,38951,275,12328599,1065136,1.0,
Monster (Shawn Mendes &amp, Justin Bieber),Monster,Shawn Mendes,20/11/2020,USUM72018810,"2,075","31,6",606018960,"77,941",24028281,61.0,249997553,4474871,"148,379",24539124,177089056,147014107,129.0,155635,,39.0,360380,38.0,38810977,10996,2084904,2455342,0.0
Last Friday Night (T.G.I.F.),Teenage Dream,Katy Perry,01/01/2010,USCA21001264,"2,084","31,6",1144535829,"170,779",83827327,71.0,1604084148,8081370,"96,013",58785473,592235618,1563364588,85.0,120606,79.0,40.0,395080,31.0,352629859,633232,,4134026,0.0,
Circo Loco,Her Loss,Drake,04/11/2022,USUG12208606,"2,077","31,6",201467069,"74,719",15970383,65.0,20937003,"225,873","21,78",12829866,119899800,,25.0,1,633.0,5.0,139795,8.0,31344634,4389,,765958,1.0,
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,08/04/2021,USRC12100760,"2,083","31,6",1823871908,"8,46",1666482,46.0,462218257,4949298,,,,2309356254,90.0,111842,,2.0,6198,2.0,,,,,0.0,
Limbo,Freddie's Inferno,Freddie Dredd,11/08/2022,USRC12201645,"2,08","31,6",290154153,"78,735",11859340,68.0,23082946,"421,187","212,44",107112714,914597307,909289,8.0,1155,3.0,10.0,97797,1.0,2050356,6853,,2165418,1.0,
Laad Piya Ke,Laad Piya Ke,Raju Punjabi,04/05/2022,INA1I1900134,"2,087","31,6",17675254,894,"101,013",55.0,573015231,1299244,,,,23808458,,,,,,,14,,,65032,0.0,
Coco Cola,Coco Cola,Ruchika Jangid,04/09/2020,INN172010039,"2,081","31,6",16483067,"1,547","487,542",53.0,1019712247,4023690,,,,,,,,,,,,,,41569,0.0,
DUELE EL CORAZON,The RCA-List (Vol. 2),Enrique Iglesias,01/01/2016,USRC11600642,"2,1","31,5",654612558,"69,811",19744540,63.0,1571210815,5796659,"62,284",4778610,57898629,393609199,81.0,1510,80.0,72.0,256459,27.0,108942938,37369,,9176132,0.0,
The Code,The Code,Nemo,29/02/2024,DEUM72401182,"2,091","31,5",52925522,"4,755",12993786,79.0,35640835,"468,153",,456500,7397500,2606582,37.0,5288,,35.0,490971,34.0,,,22311,178195,0.0,
A Puro Dolor,A Puro Dolor - Single,Gabito Ballesteros,02/12/2023,USA2P2355925,"2,098","31,5",145332157,"8,065",19954898,80.0,79026835,"407,599",,115698,670588,1351870315,8.0,701,7.0,8.0,8103118,4.0,738838,412,215913,233530,0.0,
Baddie,I'VE MINE,IVE,13/10/2023,QMDA72364152,"2,094","31,5",97738080,"9,673",7806354,,105403652,1173505,"93,1",58913003,599706698,563430275,13.0,1245,39.0,4.0,230164,18.0,228952,943,,198905,0.0,
Prisoner (feat. Dua Lipa),Prisoner (feat. Dua Lipa),Miley Cyrus,20/11/2020,USRC12003364,"2,101","31,5",795449825,"89,489",26707311,67.0,156172635,2182645,"59,449",27673273,248223677,18039448,199.0,204128,65.0,72.0,1381166,38.0,34048116,9490,,2311374,0.0,
Why Not,Why Not,Ghostface Playa,01/04/2022,QM4TX2235296,"2,099","31,5",187925725,"56,849",20452829,64.0,132788074,1959343,"86,033",73834050,790515512,1740665,12.0,6,,2.0,83044,1.0,,,14930367,1400731,1.0,
Got It On Me,Shoot For The Stars Aim For The Moon,Pop Smoke,03/07/2020,USUM72013361,"2,096","31,5",501468322,"167,938",19174702,67.0,145512290,2125906,"65,17",21468930,199737055,45400,8.0,2184,,4.0,1200,,34152485,18559,,855218,1.0,
intro (end of the world),eternal sunshine,Ariana Grande,08/03/2024,USUM72317270,"2,09","31,5",216386557,"6,696",14339377,82.0,4613304,"63,775",,,,,15.0,140,,1.0,12028,7.0,177763,317,,367285,1.0,
All I Want for Christmas Is You,Merry Christmas,Mariah Carey,01/01/1994,USSM19400325,"2,097","31,5",1810649765,"109,411",45003974,60.0,824500156,7455155,18894720,1432227925,15963128797,29891688,418.0,131873,139.0,143.0,1390899,125.0,304497253,3556791,1273462,6531412,0.0,
